"address",latitude,longitude
"Mathematik Hörsaalgebäude, Einsteinstraße 64, 48149 Münster",51.965494,7.603357
"Mathematik Institutsgebäude, Einsteinstraße 62, 48149 Münster",51.96579,7.60333
"Medizinische Psychologie, Von-Esmarch-Straße 52, 48149 Münster",51.965076,7.59364
"Meet-Arkaden, Corrensstraße 46, 48149 Münster",51.968514,7.601845
"Mensa Da Vinci, Leonardo-Campus 8, 48149 Münster",51.974514,7.59973
"Mensa am Aasee / Studentenwerk, Bismarckallee 11, 48151 Münster",51.95558,7.616913
"Mensa am Ring, Domagkstraße 61, 48149 Münster",51.965264,7.599772
"Mikrobiologie, Corrensstraße 3, 48149 Münster",51.96589,7.5979
"Mikrobiologie - Anbau I, Corrensstraße 3, 48149 Münster",51.96589,7.5979
"Mikrobiologie - Anbau II, Corrensstraße 3, 48149 Münster",51.96589,7.5979
"Mikrobiologie - Hörsaal, Corrensstraße 3, 48149 Münster",51.96589,7.5979
"Musikhochschule, Ludgeriplatz 1, 48151 Münster",51.956025,7.628324
"Nano-Bioanalytik-Zentrum (NBZ), Mendelstraße 17, 48149 Münster",51.97033,7.589504
"OC Abteilung: Isotopenchemie, Corrensstraße 40, 48149 Münster",51.96792,7.60088
"Organisch-Chemisches Institut, Corrensstraße 40, 48149 Münster",51.96792,7.60088
"Personalwohnheim Sch 52, Schmeddingstraße 52, 48149 Münster",51.95853,7.59051
"Pferdegasse 1, Pferdegasse 1, 48143 Münster",51.961307,7.623711
"Pharma-Campus, Corrensstraße 48, 48149 Münster",51.96848,7.597607
"Pharmakologie und Toxikologie, Domagkstraße 12, 48149 Münster",51.961232,7.60155
"Pharmazeutische Technologie, Corrensstraße 1, 48149 Münster",51.96519,7.59794
"Physiologie, Robert-Koch-Straße 27a/27b, 48149 Münster",51.95985,7.60782
"Physiologische Chemie, Waldeyerstraße 11-15, 48149 Münster",51.959076,7.600965
"Pottkamp 17, Pottkamp 17, 48149 Münster",51.95782,7.603137
"Psychiatrie, Albert-Schweitzer-Straße 11, 48149 Münster",51.96276,7.597961
"Robert-Koch-Straße 29, Robert-Koch-Straße 29, 48149 Münster",51.95943,7.60689
"Robert-Koch-Straße 40, Robert-Koch-Straße 40, 48149 Münster",51.95907,7.60492
"Roggenmarkt 14, Roggenmarkt 14, 48143 Münster",51.96369,7.6282
"Roggenmarkt 15/16, Roggenmarkt 15/16, 48143 Münster",51.96351,7.62825
"Rosenhof Hauptgebäude, Rosenstraße/Schlaunstraße 9 / 2-4, 48143 Münster",51.963009,7.626755
"Röntgenstr. 19, Röntgenstraße 19, 48149 Münster",51.96776,7.591134
"Röntgenstraße 21, Röntgenstraße 21, 48149 Münster",51.96776,7.591134
"Scharn. Fachschaften (Baracke), Scharnhorststraße 104, 48151 Münster",51.950745,7.609064
"Scharnh.110 Byzantinistik, Scharnhorststraße 110, 48151 Münster",51.950345,7.608123
"Scharnhorststr. 100, Scharnhorststraße 100, 48151 Münster",51.95069,7.60795
"Scharnhorststr. Aula am Aasee, Scharnhorststraße 102, 48151 Münster",51.950783,7.609158
"Scharnhorststr.121 (Hauptgeb.), Scharnhorststraße 121, 48151 Münster",51.949593,7.607198
"Scharnhorststr.121 (Pavillon), Scharnhorststraße 121, 48151 Münster",51.949593,7.607198
"Schloss, Schlossplatz 2, 48149 Münster",51.964425,7.613322
"Schlossplatz 2a-2c(Bl.Baracke), Schlossplatz 2A - 2C, 48149 Münster",51.964425,7.613322
"Schlossplatz 3, Schlossplatz 3, 48149 Münster",51.964354,7.614957
"Schlossplatz 4, Schlossplatz 4, 48149 Münster",51.964354,7.614957
"Schlossplatz 5, Schlossplatz 5, 48149 Münster",51.964354,7.614957
"Schlossplatz 7a Hörsaalgebäude, Schlossplatz 7A, 48149 Münster",51.964354,7.614957
"Seminarraumgebäude, Orleansring 12, 48149 Münster",51.966914,7.602041
"Sport Biblioth Sem. Umkleide, Horstmarer Landweg 62, 48149 Münster",51.97196,7.59905
"Sport Hochschulsport Pavillon, Horstmarer Landweg 62A, 48149 Münster",51.97196,7.59905
"Sport Seminargebäude, Horstmarer Landweg 50, 48149 Münster",51.97201,7.599004
"Sport Verwaltungsgebäude, Horstmarer Landweg 62B, 48149 Münster",51.97196,7.59905
"Sportmedizin, Horstmarer Landweg 39, 48149 Münster",51.9701,7.60168
"St. Franziskus Hospital, Hohenzollernring 72, 48145 Münster",51.96161,7.64804
"Studienkolleg, Robert-Koch-Straße 31, 48149 Münster",51.9588,7.60557
"Studtstraße 21, Studtstraße 21, 48149 Münster",51.969237,7.617273
"Tagesklinik Psychiatrie, Domagkstraße 26, 48149 Münster",51.96283,7.601215
"Technologiehof (östl.Geb.)  L1, Mendelstraße 11, 48149 Münster",51.96953,7.59402
"UKM Familienhaus, Albert-Schweitzer-Straße 44, 48149 Münster",51.961547,7.591644
"UKM IM, Hüfferstraße 73-79, 48149 Münster",51.959656,7.603214
"Universitätsbibliothek, Krummer Timpen 3-5, 48143 Münster",51.96275,7.62039
"Universitätsbibliothek Torhaus, Krummer Timpen 5, 48143 Münster",51.9628,7.61989
"Universitätssporthalle, Horstmarer Landweg 51, 48149 Münster",51.972068,7.598391
"Versorgungszentrum (VZ), Albert-Schweitzer-Straße 41, 48149 Münster",51.96023,7.59297
"Verwaltung des UKM, Domagkstraße 5, 48149 Münster",51.961185,7.600463
"Villa Terfloth (UKM Akademie), Tondernstraße 15-17, 48149 Münster",51.95672,7.59795
"Waldeyerstraße 27, Waldeyerstraße 27, 48149 Münster",51.95869,7.5985
"Wilmergasse 1-4, Wilmergasse 1-4, 48143 Münster",51.962303,7.618115
"Wilmergasse 27/28, Wilmergasse 27/28, 48143 Münster",51.962086,7.618547
"ZIV Einsteinstr., Einsteinstraße 60, 48149 Münster",51.96614,7.60393
"ZIV Röntgenstr. 11 (Süd) Büro, Röntgenstraße 11, 48149 Münster",51.96709,7.59399
"ZIV Röntgenstr. 13 (West) Werkst., Röntgenstraße 13, 48149 Münster",51.96709,7.59399
"ZIV Röntgenstr. 7, Röntgenstraße 7, 48149 Münster",51.967389,7.592774
"ZIV Röntgenstr. 9 (Ost) ZIV/CKM, Röntgenstraße 9, 48149 Münster",51.96709,7.59399
"ZTE (Zentrale Tierexp. Einrichtung), Domagkstraße 15A, 48149 Münster",51.962249,7.599998
"Zahnklinik (ZMK), Waldeyerstraße 30, 48149 Münster",51.95963,7.59697
"Zentralklinikum Turm Ost, Albert-Schweitzer-Straße 33, 48149 Münster",51.960957,7.595997
"Zentralklinikum Turm West, Albert-Schweitzer-Straße 33, 48149 Münster",51.960957,7.595997
"Zentralklinikum untere Ebenen, Albert-Schweitzer-Straße 33, 48149 Münster",51.960957,7.595997
"Zoologie Hauptgebäude, Badestraße 9, 48149 Münster",51.960906,7.614966
"Zoologie Nebengebäude, Badestraße 13, 48149 Münster",51.9608,7.615693
"Zweigbibliothek Medizin / IMIB, Domagkstraße 9, 48149 Münster",51.960788,7.599338
"Zweigbibliothek Sozialwiss., Scharnhorststraße 109, 48151 Münster",51.95023,7.60841
